City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,tshabong,-26.05,22.45,26.26,36,0,3.53,BW,1704173163
304,terenozek,45.05,64.9833,1.54,80,21,5.56,KZ,1704173164
305,bokkos,9.3,9.0,16.69,25,90,3.4,NG,1704172941
306,kalifornsky,60.4183,-151.29,-3.83,100,0,7.72,US,1704173166
307,nuuk,64.1835,-51.7216,0.34,40,75,3.09,GL,1704173167
308,fort bragg,35.139,-79.006,3.75,62,0,2.57,US,1704173168
309,pitimbu,-7.4706,-34.8086,23.33,83,8,2.67,BR,1704173169
310,boguchany,58.3814,97.4531,-18.41,94,99,1.34,RU,1704173170
311,san ignacio rio muerto,27.4167,-110.2333,16.0,80,76,2.92,MX,1704173171
312,tibanbang,6.6315,126.1055,25.9,84,100,3.87,PH,1704173172
313,olovyannaya,50.95,115.5667,-12.51,86,59,2.5,RU,1704173173
314,hagenow,53.4333,11.1833,2.71,91,100,3.93,DE,1704173174
315,strezhevoy,60.7333,77.5889,-21.13,98,100,5.81,RU,1704173175
316,labytnangi,66.6572,66.4183,-29.29,95,59,1.84,RU,1704173176
317,uray,60.1247,64.7758,-23.64,94,100,4.93,RU,1704173177
318,bac lieu,9.285,105.7244,30.92,60,60,2.3,VN,1704173178
319,bamboo flat,11.7,92.7167,29.05,70,20,5.66,IN,1704173179
320,berdigestyakh,62.0989,126.6992,-26.7,100,100,1.31,RU,1704173180
321,kuytun,54.3419,101.5036,-8.44,94,100,2.48,RU,1704173181
322,eagle mountain,40.3141,-112.0069,0.95,69,7,0.45,US,1704172934
323,paracuru,-3.41,-39.0306,23.79,88,100,0.23,BR,1704173145
324,al burayqah,30.4062,19.5739,15.48,56,4,3.25,LY,1704173184
325,demba,-5.51,22.2667,20.63,97,100,0.41,CD,1704173185
326,antsiranana,-12.2787,49.2917,28.42,78,40,3.09,MG,1704173102
327,russkaya polyana,49.417,31.9201,5.72,75,100,9.63,UA,1704173187
328,ibresi,55.2961,47.0394,-29.56,99,86,1.03,RU,1704173189
329,haiku-pauwela,20.9219,-156.3051,23.36,74,20,7.72,US,1704172910
330,huron,41.1501,-82.5499,-0.12,79,50,2.65,US,1704173191
331,crane,31.3974,-102.3501,7.13,52,88,4.56,US,1704173192
332,san pedro,14.35,121.0167,31.57,76,75,3.6,PH,1704173193
333,palikir - national government center,6.9248,158.1611,29.41,79,40,2.57,FM,1704173194
334,kenai,60.5544,-151.2583,-3.97,74,0,7.72,US,1704173195
335,boende,-0.2167,20.8667,23.97,83,100,1.05,CD,1704173196
336,kailua-kona,19.6406,-155.9956,25.98,83,100,0.0,US,1704173197
337,nouadhibou,20.931,-17.0347,17.99,55,100,5.14,MR,1704173198
338,pemba,-12.974,40.5178,25.39,100,75,3.09,MZ,1704173199
339,ola,59.5833,151.2833,-27.7,89,37,2.42,RU,1704173200
340,tbeng meanchey,13.8167,104.9667,34.79,38,12,1.16,KH,1704173201
341,vanimo,-2.6741,141.3028,29.07,70,100,1.51,PG,1704173202
342,trat,12.5,102.5,33.11,33,59,4.78,TH,1704173203
343,bocaiuva,-17.1078,-43.815,20.75,96,100,1.77,BR,1704172991
344,dvurechensk,56.5982,61.0953,-24.62,93,99,4.1,RU,1704173205
345,colac,-38.3333,143.5833,21.57,74,95,4.05,AU,1704173206
346,nacala,-14.5428,40.6728,26.21,88,100,2.16,MZ,1704173207
347,gospic,44.5461,15.3747,-0.17,95,63,0.59,HR,1704173208
348,maloye ganyushkino,46.6,49.2667,-0.04,82,50,3.52,KZ,1704173209
349,cururupu,-1.8283,-44.8683,23.29,97,100,0.88,BR,1704173032
350,bodo,67.28,14.405,-8.46,53,0,12.86,NO,1704173212
351,bulungu,-4.55,18.6,21.17,98,97,0.93,CD,1704173213
352,tangalle,6.024,80.7911,26.09,92,100,6.0,LK,1704173214
353,iskateley,67.6803,53.1512,-25.55,100,90,1.79,RU,1704173215
354,brynamman,51.8,-3.8667,9.89,92,100,4.66,GB,1704173216
